Nombre|(º-º)|Plataforma|(º-º)|Año|(º-º)|Genero|(º-º)|Editorial|(º-º)|Ventas NA|(º-º)|Ventas EU|(º-º)|Ventas JP|(º-º)|Ventas Otros|(º-º)|Ventas Global
Wii Fit|(º-º)|Wii|(º-º)|2007|(º-º)|Sports|(º-º)|Nintendo|(º-º)|8,94|(º-º)|8,03|(º-º)|3,6|(º-º)|2,15|(º-º)|22,72
Wii Fit Plus|(º-º)|Wii|(º-º)|2009|(º-º)|Sports|(º-º)|Nintendo|(º-º)|9,09|(º-º)|8,59|(º-º)|2,53|(º-º)|1,79|(º-º)|22
Kinect Adventures!|(º-º)|X360|(º-º)|2010|(º-º)|Misc|(º-º)|Microsoft Game Studios|(º-º)|14,97|(º-º)|4,94|(º-º)|0,24|(º-º)|1,67|(º-º)|21,82
Grand Theft Auto V|(º-º)|PS3|(º-º)|2013|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|7,01|(º-º)|9,27|(º-º)|0,97|(º-º)|4,14|(º-º)|21,4
Grand Theft Auto: San Andreas|(º-º)|PS2|(º-º)|2004|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|9,43|(º-º)|0,4|(º-º)|0,41|(º-º)|10,57|(º-º)|20,81
Super Mario World|(º-º)|SNES|(º-º)|1990|(º-º)|Platform|(º-º)|Nintendo|(º-º)|12,78|(º-º)|3,75|(º-º)|3,54|(º-º)|0,55|(º-º)|20,61
Brain Age: Train Your Brain in Minutes a Day|(º-º)|DS|(º-º)|2005|(º-º)|Misc|(º-º)|Nintendo|(º-º)|4,75|(º-º)|9,26|(º-º)|4,16|(º-º)|2,05|(º-º)|20,22
Pokemon Diamond/Pokemon Pearl|(º-º)|DS|(º-º)|2006|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|6,42|(º-º)|4,52|(º-º)|6,04|(º-º)|1,37|(º-º)|18,36
Super Mario Land|(º-º)|GB|(º-º)|1989|(º-º)|Platform|(º-º)|Nintendo|(º-º)|10,83|(º-º)|2,71|(º-º)|4,18|(º-º)|0,42|(º-º)|18,14
Super Mario Bros. 3|(º-º)|NES|(º-º)|1988|(º-º)|Platform|(º-º)|Nintendo|(º-º)|9,54|(º-º)|3,44|(º-º)|3,84|(º-º)|0,46|(º-º)|17,28
Grand Theft Auto V|(º-º)|X360|(º-º)|2013|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|9,63|(º-º)|5,31|(º-º)|0,06|(º-º)|1,38|(º-º)|16,38
Grand Theft Auto: Vice City|(º-º)|PS2|(º-º)|2002|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|8,41|(º-º)|5,49|(º-º)|0,47|(º-º)|1,78|(º-º)|16,15
Pokemon Ruby/Pokemon Sapphire|(º-º)|GBA|(º-º)|2002|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|6,06|(º-º)|3,9|(º-º)|5,38|(º-º)|0,5|(º-º)|15,85
Pokemon Black/Pokemon White|(º-º)|DS|(º-º)|2010|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|5,57|(º-º)|3,28|(º-º)|5,65|(º-º)|0,82|(º-º)|15,32
Brain Age 2: More Training in Minutes a Day|(º-º)|DS|(º-º)|2005|(º-º)|Puzzle|(º-º)|Nintendo|(º-º)|3,44|(º-º)|5,36|(º-º)|5,32|(º-º)|1,18|(º-º)|15,3
Gran Turismo 3: A-Spec|(º-º)|PS2|(º-º)|2001|(º-º)|Racing|(º-º)|Sony Computer Entertainment|(º-º)|6,85|(º-º)|5,09|(º-º)|1,87|(º-º)|1,16|(º-º)|14,98
Call of Duty: Modern Warfare 3|(º-º)|X360|(º-º)|2011|(º-º)|Shooter|(º-º)|Activision|(º-º)|9,03|(º-º)|4,28|(º-º)|0,13|(º-º)|1,32|(º-º)|14,76
PokÃ©mon Yellow: Special Pikachu Edition|(º-º)|GB|(º-º)|1998|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|5,89|(º-º)|5,04|(º-º)|3,12|(º-º)|0,59|(º-º)|14,64
Call of Duty: Black Ops|(º-º)|X360|(º-º)|2010|(º-º)|Shooter|(º-º)|Activision|(º-º)|9,67|(º-º)|3,73|(º-º)|0,11|(º-º)|1,13|(º-º)|14,64
Pokemon X/Pokemon Y|(º-º)|3DS|(º-º)|2013|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|5,17|(º-º)|4,05|(º-º)|4,34|(º-º)|0,79|(º-º)|14,35
Call of Duty: Black Ops 3|(º-º)|PS4|(º-º)|2015|(º-º)|Shooter|(º-º)|Activision|(º-º)|5,77|(º-º)|5,81|(º-º)|0,35|(º-º)|2,31|(º-º)|14,24
Call of Duty: Black Ops II|(º-º)|PS3|(º-º)|2012|(º-º)|Shooter|(º-º)|Activision|(º-º)|4,99|(º-º)|5,88|(º-º)|0,65|(º-º)|2,52|(º-º)|14,03
Call of Duty: Black Ops II|(º-º)|X360|(º-º)|2012|(º-º)|Shooter|(º-º)|Activision|(º-º)|8,25|(º-º)|4,3|(º-º)|0,07|(º-º)|1,12|(º-º)|13,73
Call of Duty: Modern Warfare 2|(º-º)|X360|(º-º)|2009|(º-º)|Shooter|(º-º)|Activision|(º-º)|8,52|(º-º)|3,63|(º-º)|0,08|(º-º)|1,29|(º-º)|13,51
Call of Duty: Modern Warfare 3|(º-º)|PS3|(º-º)|2011|(º-º)|Shooter|(º-º)|Activision|(º-º)|5,54|(º-º)|5,82|(º-º)|0,49|(º-º)|1,62|(º-º)|13,46
Grand Theft Auto III|(º-º)|PS2|(º-º)|2001|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|6,99|(º-º)|4,51|(º-º)|0,3|(º-º)|1,3|(º-º)|13,1
Super Smash Bros. Brawl|(º-º)|Wii|(º-º)|2008|(º-º)|Fighting|(º-º)|Nintendo|(º-º)|6,75|(º-º)|2,61|(º-º)|2,66|(º-º)|1,02|(º-º)|13,04
Call of Duty: Black Ops|(º-º)|PS3|(º-º)|2010|(º-º)|Shooter|(º-º)|Activision|(º-º)|5,98|(º-º)|4,44|(º-º)|0,48|(º-º)|1,83|(º-º)|12,73
Animal Crossing: Wild World|(º-º)|DS|(º-º)|2005|(º-º)|Simulation|(º-º)|Nintendo|(º-º)|2,55|(º-º)|3,52|(º-º)|5,33|(º-º)|0,88|(º-º)|12,27
Mario Kart 7|(º-º)|3DS|(º-º)|2011|(º-º)|Racing|(º-º)|Nintendo|(º-º)|4,74|(º-º)|3,91|(º-º)|2,67|(º-º)|0,89|(º-º)|12,21
Halo 3|(º-º)|X360|(º-º)|2007|(º-º)|Shooter|(º-º)|Microsoft Game Studios|(º-º)|7,97|(º-º)|2,83|(º-º)|0,13|(º-º)|1,21|(º-º)|12,14
Grand Theft Auto V|(º-º)|PS4|(º-º)|2014|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|3,8|(º-º)|5,81|(º-º)|0,36|(º-º)|2,02|(º-º)|11,98
Pokemon HeartGold/Pokemon SoulSilver|(º-º)|DS|(º-º)|2009|(º-º)|Action|(º-º)|Nintendo|(º-º)|4,4|(º-º)|2,77|(º-º)|3,96|(º-º)|0,77|(º-º)|11,9
Super Mario 64|(º-º)|N64|(º-º)|1996|(º-º)|Platform|(º-º)|Nintendo|(º-º)|6,91|(º-º)|2,85|(º-º)|1,91|(º-º)|0,23|(º-º)|11,89
Gran Turismo 4|(º-º)|PS2|(º-º)|2004|(º-º)|Racing|(º-º)|Sony Computer Entertainment|(º-º)|3,01|(º-º)|0,01|(º-º)|1,1|(º-º)|7,53|(º-º)|11,66
Super Mario Galaxy|(º-º)|Wii|(º-º)|2007|(º-º)|Platform|(º-º)|Nintendo|(º-º)|6,16|(º-º)|3,4|(º-º)|1,2|(º-º)|0,76|(º-º)|11,52
Pokemon Omega Ruby/Pokemon Alpha Sapphire|(º-º)|3DS|(º-º)|2014|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|4,23|(º-º)|3,37|(º-º)|3,08|(º-º)|0,65|(º-º)|11,33
Super Mario Land 2: 6 Golden Coins|(º-º)|GB|(º-º)|1992|(º-º)|Adventure|(º-º)|Nintendo|(º-º)|6,16|(º-º)|2,04|(º-º)|2,69|(º-º)|0,29|(º-º)|11,18
Grand Theft Auto IV|(º-º)|X360|(º-º)|2008|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|6,76|(º-º)|3,1|(º-º)|0,14|(º-º)|1,03|(º-º)|11,02
Gran Turismo|(º-º)|PS|(º-º)|1997|(º-º)|Racing|(º-º)|Sony Computer Entertainment|(º-º)|4,02|(º-º)|3,87|(º-º)|2,54|(º-º)|0,52|(º-º)|10,95
Super Mario 3D Land|(º-º)|3DS|(º-º)|2011|(º-º)|Platform|(º-º)|Nintendo|(º-º)|4,89|(º-º)|2,99|(º-º)|2,13|(º-º)|0,78|(º-º)|10,79
Gran Turismo 5|(º-º)|PS3|(º-º)|2010|(º-º)|Racing|(º-º)|Sony Computer Entertainment|(º-º)|2,96|(º-º)|4,88|(º-º)|0,81|(º-º)|2,12|(º-º)|10,77
Call of Duty: Modern Warfare 2|(º-º)|PS3|(º-º)|2009|(º-º)|Shooter|(º-º)|Activision|(º-º)|4,99|(º-º)|3,69|(º-º)|0,38|(º-º)|1,63|(º-º)|10,69
Grand Theft Auto IV|(º-º)|PS3|(º-º)|2008|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|4,76|(º-º)|3,76|(º-º)|0,44|(º-º)|1,62|(º-º)|10,57
Super Mario All-Stars|(º-º)|SNES|(º-º)|1993|(º-º)|Platform|(º-º)|Nintendo|(º-º)|5,99|(º-º)|2,15|(º-º)|2,12|(º-º)|0,29|(º-º)|10,55
Pokemon FireRed/Pokemon LeafGreen|(º-º)|GBA|(º-º)|2004|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|4,34|(º-º)|2,65|(º-º)|3,15|(º-º)|0,35|(º-º)|10,49
Super Mario 64|(º-º)|DS|(º-º)|2004|(º-º)|Platform|(º-º)|Nintendo|(º-º)|5,08|(º-º)|3,11|(º-º)|1,25|(º-º)|0,98|(º-º)|10,42
Just Dance 3|(º-º)|Wii|(º-º)|2011|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|6,05|(º-º)|3,15|(º-º)|0|(º-º)|1,07|(º-º)|10,26
Call of Duty: Ghosts|(º-º)|X360|(º-º)|2013|(º-º)|Shooter|(º-º)|Activision|(º-º)|6,72|(º-º)|2,63|(º-º)|0,04|(º-º)|0,82|(º-º)|10,21
Halo: Reach|(º-º)|X360|(º-º)|2010|(º-º)|Shooter|(º-º)|Microsoft Game Studios|(º-º)|7,03|(º-º)|1,98|(º-º)|0,08|(º-º)|0,78|(º-º)|9,88
Mario Kart 64|(º-º)|N64|(º-º)|1996|(º-º)|Racing|(º-º)|Nintendo|(º-º)|5,55|(º-º)|1,94|(º-º)|2,23|(º-º)|0,15|(º-º)|9,87
New Super Mario Bros. 2|(º-º)|3DS|(º-º)|2012|(º-º)|Platform|(º-º)|Nintendo|(º-º)|3,66|(º-º)|3,07|(º-º)|2,47|(º-º)|0,63|(º-º)|9,82
Halo 4|(º-º)|X360|(º-º)|2012|(º-º)|Shooter|(º-º)|Microsoft Game Studios|(º-º)|6,63|(º-º)|2,36|(º-º)|0,04|(º-º)|0,73|(º-º)|9,76
Final Fantasy VII|(º-º)|PS|(º-º)|1997|(º-º)|Role-Playing|(º-º)|Sony Computer Entertainment|(º-º)|3,01|(º-º)|2,47|(º-º)|3,28|(º-º)|0,96|(º-º)|9,72
Call of Duty: Ghosts|(º-º)|PS3|(º-º)|2013|(º-º)|Shooter|(º-º)|Activision|(º-º)|4,09|(º-º)|3,73|(º-º)|0,38|(º-º)|1,38|(º-º)|9,59
Just Dance 2|(º-º)|Wii|(º-º)|2010|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|5,84|(º-º)|2,89|(º-º)|0,01|(º-º)|0,78|(º-º)|9,52
Gran Turismo 2|(º-º)|PS|(º-º)|1999|(º-º)|Racing|(º-º)|Sony Computer Entertainment|(º-º)|3,88|(º-º)|3,42|(º-º)|1,69|(º-º)|0,5|(º-º)|9,49
Call of Duty 4: Modern Warfare|(º-º)|X360|(º-º)|2007|(º-º)|Shooter|(º-º)|Activision|(º-º)|5,91|(º-º)|2,38|(º-º)|0,13|(º-º)|0,9|(º-º)|9,32
Donkey Kong Country|(º-º)|SNES|(º-º)|1994|(º-º)|Platform|(º-º)|Nintendo|(º-º)|4,36|(º-º)|1,71|(º-º)|3|(º-º)|0,23|(º-º)|9,3
Minecraft|(º-º)|X360|(º-º)|2013|(º-º)|Misc|(º-º)|Microsoft Game Studios|(º-º)|5,58|(º-º)|2,83|(º-º)|0,02|(º-º)|0,77|(º-º)|9,2
Animal Crossing: New Leaf|(º-º)|3DS|(º-º)|2012|(º-º)|Simulation|(º-º)|Nintendo|(º-º)|2,01|(º-º)|2,32|(º-º)|4,36|(º-º)|0,41|(º-º)|9,09
Mario Party DS|(º-º)|DS|(º-º)|2007|(º-º)|Misc|(º-º)|Nintendo|(º-º)|4,46|(º-º)|1,88|(º-º)|1,98|(º-º)|0,7|(º-º)|9,02
The Elder Scrolls V: Skyrim|(º-º)|X360|(º-º)|2011|(º-º)|Role-Playing|(º-º)|Bethesda Softworks|(º-º)|5,03|(º-º)|2,86|(º-º)|0,1|(º-º)|0,85|(º-º)|8,84
Super Mario Kart|(º-º)|SNES|(º-º)|1992|(º-º)|Racing|(º-º)|Nintendo|(º-º)|3,54|(º-º)|1,24|(º-º)|3,81|(º-º)|0,18|(º-º)|8,76
Halo 2|(º-º)|XB|(º-º)|2004|(º-º)|Shooter|(º-º)|Microsoft Game Studios|(º-º)|6,82|(º-º)|1,53|(º-º)|0,05|(º-º)|0,08|(º-º)|8,49
Wii Party|(º-º)|Wii|(º-º)|2010|(º-º)|Misc|(º-º)|Nintendo|(º-º)|1,79|(º-º)|3,53|(º-º)|2,49|(º-º)|0,68|(º-º)|8,49
FIFA 16|(º-º)|PS4|(º-º)|2015|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|1,11|(º-º)|6,06|(º-º)|0,06|(º-º)|1,26|(º-º)|8,49
Mario Party 8|(º-º)|Wii|(º-º)|2007|(º-º)|Misc|(º-º)|Nintendo|(º-º)|3,81|(º-º)|2,3|(º-º)|1,58|(º-º)|0,73|(º-º)|8,42
Pokemon Black 2/Pokemon White 2|(º-º)|DS|(º-º)|2012|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|2,91|(º-º)|1,86|(º-º)|3,14|(º-º)|0,43|(º-º)|8,33
FIFA Soccer 13|(º-º)|PS3|(º-º)|2012|(º-º)|Action|(º-º)|Electronic Arts|(º-º)|1,06|(º-º)|5,05|(º-º)|0,13|(º-º)|2,01|(º-º)|8,24
The Sims 3|(º-º)|PC|(º-º)|2009|(º-º)|Simulation|(º-º)|Electronic Arts|(º-º)|0,98|(º-º)|6,42|(º-º)|0|(º-º)|0,71|(º-º)|8,11
GoldenEye 007|(º-º)|N64|(º-º)|1997|(º-º)|Shooter|(º-º)|Nintendo|(º-º)|5,8|(º-º)|2,01|(º-º)|0,13|(º-º)|0,15|(º-º)|8,09
Mario & Sonic at the Olympic Games|(º-º)|Wii|(º-º)|2007|(º-º)|Sports|(º-º)|Sega|(º-º)|2,58|(º-º)|3,9|(º-º)|0,66|(º-º)|0,91|(º-º)|8,06
Final Fantasy X|(º-º)|PS2|(º-º)|2001|(º-º)|Role-Playing|(º-º)|Sony Computer Entertainment|(º-º)|2,91|(º-º)|2,07|(º-º)|2,73|(º-º)|0,33|(º-º)|8,05
Final Fantasy VIII|(º-º)|PS|(º-º)|1999|(º-º)|Role-Playing|(º-º)|SquareSoft|(º-º)|2,28|(º-º)|1,72|(º-º)|3,63|(º-º)|0,23|(º-º)|7,86
PokÃ©mon Platinum Version|(º-º)|DS|(º-º)|2008|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|2,82|(º-º)|1,78|(º-º)|2,69|(º-º)|0,55|(º-º)|7,84
Pac-Man|(º-º)|2600|(º-º)|1982|(º-º)|Puzzle|(º-º)|Atari|(º-º)|7,28|(º-º)|0,45|(º-º)|0|(º-º)|0,08|(º-º)|7,81
Grand Theft Auto: Liberty City Stories|(º-º)|PSP|(º-º)|2005|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|2,9|(º-º)|2,83|(º-º)|0,24|(º-º)|1,75|(º-º)|7,72
Super Mario Galaxy 2|(º-º)|Wii|(º-º)|2010|(º-º)|Platform|(º-º)|Nintendo|(º-º)|3,66|(º-º)|2,42|(º-º)|0,98|(º-º)|0,64|(º-º)|7,69
Star Wars Battlefront (2015)|(º-º)|PS4|(º-º)|2015|(º-º)|Shooter|(º-º)|Electronic Arts|(º-º)|2,93|(º-º)|3,29|(º-º)|0,22|(º-º)|1,23|(º-º)|7,67
The Legend of Zelda: Ocarina of Time|(º-º)|N64|(º-º)|1998|(º-º)|Action|(º-º)|Nintendo|(º-º)|4,1|(º-º)|1,89|(º-º)|1,45|(º-º)|0,16|(º-º)|7,6
Call of Duty: Advanced Warfare|(º-º)|PS4|(º-º)|2014|(º-º)|Shooter|(º-º)|Activision|(º-º)|2,8|(º-º)|3,3|(º-º)|0,14|(º-º)|1,37|(º-º)|7,6
Crash Bandicoot 2: Cortex Strikes Back|(º-º)|PS|(º-º)|1997|(º-º)|Platform|(º-º)|Sony Computer Entertainment|(º-º)|3,78|(º-º)|2,17|(º-º)|1,31|(º-º)|0,31|(º-º)|7,58
Super Mario Bros. 2|(º-º)|NES|(º-º)|1988|(º-º)|Platform|(º-º)|Nintendo|(º-º)|5,39|(º-º)|1,18|(º-º)|0,7|(º-º)|0,19|(º-º)|7,46
Super Smash Bros. for Wii U and 3DS|(º-º)|3DS|(º-º)|2014|(º-º)|Fighting|(º-º)|Nintendo|(º-º)|3,24|(º-º)|1,35|(º-º)|2,42|(º-º)|0,43|(º-º)|7,45
Call of Duty: World at War|(º-º)|X360|(º-º)|2008|(º-º)|Shooter|(º-º)|Activision|(º-º)|4,79|(º-º)|1,9|(º-º)|0|(º-º)|0,69|(º-º)|7,37
Battlefield 3|(º-º)|X360|(º-º)|2011|(º-º)|Shooter|(º-º)|Electronic Arts|(º-º)|4,46|(º-º)|2,13|(º-º)|0,06|(º-º)|0,69|(º-º)|7,34
The Legend of Zelda: Twilight Princess|(º-º)|Wii|(º-º)|2006|(º-º)|Action|(º-º)|Nintendo|(º-º)|3,83|(º-º)|2,19|(º-º)|0,6|(º-º)|0,7|(º-º)|7,31
Call of Duty: Black Ops 3|(º-º)|XOne|(º-º)|2015|(º-º)|Shooter|(º-º)|Activision|(º-º)|4,52|(º-º)|2,09|(º-º)|0,01|(º-º)|0,67|(º-º)|7,3
Just Dance|(º-º)|Wii|(º-º)|2009|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|3,51|(º-º)|3,03|(º-º)|0|(º-º)|0,73|(º-º)|7,27
Battlefield 3|(º-º)|PS3|(º-º)|2011|(º-º)|Shooter|(º-º)|Electronic Arts|(º-º)|2,85|(º-º)|2,93|(º-º)|0,35|(º-º)|1,1|(º-º)|7,23
Need for Speed Underground|(º-º)|PS2|(º-º)|2003|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|3,27|(º-º)|2,83|(º-º)|0,08|(º-º)|1,02|(º-º)|7,2
Tekken 3|(º-º)|PS|(º-º)|1998|(º-º)|Fighting|(º-º)|Sony Computer Entertainment|(º-º)|3,27|(º-º)|2,22|(º-º)|1,4|(º-º)|0,29|(º-º)|7,16
Crash Bandicoot 3: Warped|(º-º)|PS|(º-º)|1998|(º-º)|Platform|(º-º)|Sony Computer Entertainment|(º-º)|3,68|(º-º)|1,75|(º-º)|1,42|(º-º)|0,28|(º-º)|7,13
Super Smash Bros. Melee|(º-º)|GC|(º-º)|2001|(º-º)|Fighting|(º-º)|Nintendo|(º-º)|4,41|(º-º)|1,04|(º-º)|1,39|(º-º)|0,22|(º-º)|7,07
Mario Kart 8|(º-º)|WiiU|(º-º)|2014|(º-º)|Racing|(º-º)|Nintendo|(º-º)|3,13|(º-º)|2,07|(º-º)|1,27|(º-º)|0,49|(º-º)|6,96
Fallout 4|(º-º)|PS4|(º-º)|2015|(º-º)|Role-Playing|(º-º)|Bethesda Softworks|(º-º)|2,47|(º-º)|3,15|(º-º)|0,24|(º-º)|1,1|(º-º)|6,96
Mario Kart: Double Dash!!|(º-º)|GC|(º-º)|2003|(º-º)|Racing|(º-º)|Nintendo|(º-º)|4,12|(º-º)|1,77|(º-º)|0,87|(º-º)|0,19|(º-º)|6,95
Just Dance 4|(º-º)|Wii|(º-º)|2012|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|4,14|(º-º)|2,21|(º-º)|0|(º-º)|0,56|(º-º)|6,91
Need for Speed Underground 2|(º-º)|PS2|(º-º)|2004|(º-º)|Racing|(º-º)|Electronic Arts|(º-º)|2,71|(º-º)|3,02|(º-º)|0,08|(º-º)|1,09|(º-º)|6,9
FIFA 14|(º-º)|PS3|(º-º)|2013|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,78|(º-º)|4,32|(º-º)|0,07|(º-º)|1,73|(º-º)|6,9
Medal of Honor: Frontline|(º-º)|PS2|(º-º)|2002|(º-º)|Shooter|(º-º)|Electronic Arts|(º-º)|2,93|(º-º)|2,75|(º-º)|0,17|(º-º)|0,99|(º-º)|6,83
Uncharted 3: Drake's Deception|(º-º)|PS3|(º-º)|2011|(º-º)|Action|(º-º)|Sony Computer Entertainment|(º-º)|2,77|(º-º)|2,8|(º-º)|0,19|(º-º)|1,06|(º-º)|6,83
Crash Bandicoot|(º-º)|PS|(º-º)|1996|(º-º)|Platform|(º-º)|Sony Computer Entertainment|(º-º)|3,23|(º-º)|2,35|(º-º)|0,94|(º-º)|0,3|(º-º)|6,82
Zumba Fitness|(º-º)|Wii|(º-º)|2010|(º-º)|Sports|(º-º)|505 Games|(º-º)|3,5|(º-º)|2,64|(º-º)|0|(º-º)|0,67|(º-º)|6,81
Gears of War 2|(º-º)|X360|(º-º)|2008|(º-º)|Shooter|(º-º)|Microsoft Game Studios|(º-º)|4,15|(º-º)|1,92|(º-º)|0,06|(º-º)|0,64|(º-º)|6,76
Uncharted 2: Among Thieves|(º-º)|PS3|(º-º)|2009|(º-º)|Action|(º-º)|Sony Computer Entertainment|(º-º)|3,27|(º-º)|2,25|(º-º)|0,21|(º-º)|1|(º-º)|6,73
Call of Duty 4: Modern Warfare|(º-º)|PS3|(º-º)|2007|(º-º)|Shooter|(º-º)|Activision|(º-º)|3,1|(º-º)|2,3|(º-º)|0,28|(º-º)|1,04|(º-º)|6,72
FIFA 12|(º-º)|PS3|(º-º)|2011|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,84|(º-º)|4,32|(º-º)|0,11|(º-º)|1,42|(º-º)|6,69
Big Brain Academy|(º-º)|DS|(º-º)|2005|(º-º)|Misc|(º-º)|Nintendo|(º-º)|1,67|(º-º)|2,78|(º-º)|1,6|(º-º)|0,62|(º-º)|6,67
Red Dead Redemption|(º-º)|PS3|(º-º)|2010|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|2,79|(º-º)|2,61|(º-º)|0,17|(º-º)|1,03|(º-º)|6,6
Donkey Kong Country Returns|(º-º)|Wii|(º-º)|2010|(º-º)|Platform|(º-º)|Nintendo|(º-º)|3,25|(º-º)|1,84|(º-º)|1,03|(º-º)|0,47|(º-º)|6,59
FIFA 15|(º-º)|PS4|(º-º)|2014|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,79|(º-º)|4,29|(º-º)|0,05|(º-º)|1,47|(º-º)|6,59
The Elder Scrolls V: Skyrim|(º-º)|PS3|(º-º)|2011|(º-º)|Role-Playing|(º-º)|Bethesda Softworks|(º-º)|2,55|(º-º)|2,71|(º-º)|0,25|(º-º)|1,05|(º-º)|6,56
The Legend of Zelda|(º-º)|NES|(º-º)|1986|(º-º)|Action|(º-º)|Nintendo|(º-º)|3,74|(º-º)|0,93|(º-º)|1,69|(º-º)|0,14|(º-º)|6,51
Assassin's Creed III|(º-º)|PS3|(º-º)|2012|(º-º)|Action|(º-º)|Ubisoft|(º-º)|2,64|(º-º)|2,56|(º-º)|0,16|(º-º)|1,14|(º-º)|6,5
Halo: Combat Evolved|(º-º)|XB|(º-º)|2001|(º-º)|Shooter|(º-º)|Microsoft Game Studios|(º-º)|4,98|(º-º)|1,3|(º-º)|0,08|(º-º)|0,07|(º-º)|6,43
PokÃ©mon Emerald Version|(º-º)|GBA|(º-º)|2004|(º-º)|Role-Playing|(º-º)|Nintendo|(º-º)|2,57|(º-º)|1,58|(º-º)|2,06|(º-º)|0,21|(º-º)|6,41
